Adverse Interaction Index	Adverse Interaction Identifier	Adverse Interaction Name
942	C0332687	Burns Second Degree
943	C0011882	Diabetic neuropathy
944	C0040425	tonsillitis
945	C0149521	pancreatitis relapsing
946	C0085580	essential hypertension
947	C0574960	sacroiliitis
948	C0085694	cholecystitis chronic
949	C0003834	arterial insufficiency
950	C0006107	brain concussion
951	C0009774	conjunctivitis viral
952	C0015403	eye infection
953	C0016470	food allergy
954	C0016807	intestinal functional disorder
955	C0020490	hypermetropia
956	C0022081	iritis
957	C0026265	mitral valve disease NOS
958	C0027343	ingrowing nail
959	C0027962	melanocytic naevus
960	C0032273	pneumoconiosis
961	C0033998	Pterygium
962	C0039103	synovitis
963	C0040259	tinea pedis
964	C0043145	Whiplash Injury
965	C0243010	encephalitis viral
966	C0281774	acute psychosis
967	C0005961	bone marrow transplant
968	C0024282	lymphocytosis
969	C0036202	sarcoidosis
970	C0851886	Pneumocystis carinii infection
971	C0010036	Corneal dystrophy
972	C0013369	diarrhea infectious
973	C0014488	epicondylitis
974	C0015806	femoral neck fracture
975	C0025160	megacolon
976	C0027858	neuroma
977	C0028077	night blindness
978	C0031099	periodontitis
979	C0033581	prostatitis
980	C0085762	alcohol abuse
981	C0149508	eustachian tube obstruction
982	C0221245	Rhagades
983	C1258666	ganglion
984	C0016479	food poisoning
985	C0020757	ichthyosis
986	C0023646	lichen planus
987	C0024198	Lyme Disease
988	C0029434	Osteogenesis Imperfecta
989	C0029936	oophorectomy
990	C0042961	volvulus
991	C0282488	Cystitis Interstitial
992	C0030486	paraplegia
993	C0740858	substance abuse
994	C1261470	meningocele
995	C0006386	Bunion
996	C0009663	anogenital warts
997	C0016658	bone fracture
998	C0018843	heat stroke
999	C0020619	hypogonadism
1000	C0029400	bone inflammation
1001	C0034359	pyuria
1002	C0007868	cervical dysplasia
1003	C0033038	Ejaculation Premature
1004	C0034050	alveolar proteinosis
1005	C1458155	breast neoplasm
1006	C0014583	episcleritis
1007	C0019048	hemoglobinuria
1008	C0019159	Hepatitis A
1009	C0034194	pyloric stenosis
1010	C0220983	metabolic alkalosis
1011	C0001957	delirium tremens
1012	C0003868	gouty arthritis
1013	C0006370	bulimia
1014	C0009917	contracture
1015	C0010417	cryptorchidism
1016	C0014175	endometriosis
1017	C0029124	optic atrophy
1018	C0035302	Retinal artery occlusion
1019	C0042485	venous insufficiency
1020	C0085681	hyperphosphatemia
1021	C0152086	traumatic arthropathy
1022	C0232861	penile discharge
1023	C0271036	retinal scar
1024	C0553723	squamous cell carcinoma of skin
1025	C0020565	breast enlargement
1026	C0023891	alcoholic cirrhosis
1027	C0026640	oral neoplasm
1028	C0034880	hyperacusia
1029	C0235974	pancreatic cancer
1030	C0006152	Breast swelling
1031	C0022665	kidney neoplasm
1032	C0027868	Neuromuscular Disorder
1033	C0029454	osteopetrosis
1034	C0041976	urethritis
1035	C0149630	Bicuspid Aortic Valve
1036	C0241353	testicular swelling
1037	C0262613	renal mass
1038	C0026393	molluscum contagiosum
1039	C0030756	Lice Infestation
1040	C0009410	colostomy
1041	C0151714	hypermagnesemia
1042	C0020258	normal pressure hydrocephalus
1043	C0001816	agnosia
1044	C0018418	gynaecomastia
1045	C0027822	neurodermatitis
1046	C0004690	balanitis
1047	C0018520	bad breath
1048	C0024894	breast inflammation
1049	C0036337	schizoaffective disorder
1050	C0085662	macrocytosis
1051	C0079102	Cerebral thrombosis
1052	C0010666	cystic acne
1053	C0262578	night cramps
1054	C0010702	CYSTO
1055	C0015734	faecal impaction
1056	C0017605	angle closure glaucoma
1057	C0232605	regurgitation
1058	C0262493	gallbladder polyp
1059	C0149736	neck mass
1060	C0007462	causalgia
1061	C0018621	hay fever
1062	C0024586	carcinoid syndrome
1063	C0040145	thyroidectomy
1064	C0035333	retinitis
1065	C0007570	coeliac disease
1066	C0011974	Dermatitis diaper
1067	C0027430	nasal polyp
1068	C0340274	pregnancy induced hypertension
1069	C0006012	borderline personality disorder
1070	C0022548	Keloid scar
1071	C0036130	Salpingitis
1072	C0042998	vulvovaginitis
1073	C0085648	synovial cyst
1074	C0553662	JRA
1075	C1261473	sarcoma
1076	C0014534	epididymitis
1077	C0000889	acanthosis nigricans
1078	C0001925	albuminuria
1079	C0019693	HIV disease
1080	C0038238	Fatty stools
1081	C0085704	exploratory laparotomy
1082	C0042164	intraocular inflammation
1083	C0029899	otosclerosis
1084	C0033375	prolactinoma
1085	C0025218	chloasma
1086	C0033931	psychosomatic disease
1087	C0021345	infectious mononucleosis
1088	C0024899	mast cell disease
1089	C0152021	congenital heart disease
1090	C0016665	fracture nonunion
1091	C0038013	ankylosing spondylitis
1092	C0022951	lactose intolerance
1093	C0235660	galactorrhea
1094	C0027022	MPD
1095	C0014089	encopresis
1096	C0040247	tinea
1097	C0149925	SCLC
1098	C0028949	Oligomenorrhea
1099	C0039685	tetralogy of Fallot
1100	C0018500	hair disease
1101	C0025287	meningeal irritation
1102	C1527336	Sjogrens syndrome
1103	C0232943	menometrorrhagia
1104	C0149678	EBV infection
1105	C0349231	phobia
1106	C0161446	brachial plexus injury
1107	C0014179	Endometritis
1108	C0020624	hypomenorrhea
1109	C0042136	uterine infection
1110	C1527411	retinal vein thrombosis
1111	C0015645	fasciitis
1112	C0026948	mycosis fungoides
1113	C0032284	pneumonectomy
1114	C0032807	Post thrombotic syndrome
1115	C0221780	rectal discharge
1116	C0040456	Tooth Impacted
1117	C0600327	toxic shock
1118	C0429468	anovulatory
1119	C0341858	adenomyosis
1120	C0549398	meibomianitis
1121	C0021359	infertility
1122	C0020604	hypochondriasis
1123	C0149732	Muscle Rupture
1124	C0341163	Gastric ulcer perforated
1125	C0005967	bone neoplasm
1126	C0007078	carbuncle
1127	C0008312	primary biliary cirrhosis
1128	C0009193	coccydynia
1129	C0017675	Glossitis
1130	C0019655	histoplasmosis
1131	C0022073	iridocyclitis
1132	C0026975	myelitis
1133	C0029440	osteoma
1134	C0032580	familial adenomatous polyposis
1135	C0035436	Rheumatic fever
1136	C0190211	coronary angioplasty
1137	C0259749	autonomic neuropathy
1138	C0262497	global amnesia
1139	C0272386	tonsillar hypertrophy
1140	C0028840	ocular hypertension
1141	C0162299	thyroid cyst
1142	C0002726	amyloidosis
1143	C1136085	monoclonal gammopathy
1144	C0151790	nasal septum disorder
1145	C0022572	keratoacanthomas
1146	C0003860	arteritis
1147	C0040252	body tinea
1148	C0149684	colon polypectomy
1149	C0039446	telangiectases
1150	C0030354	Papilloma
1151	C0149793	amaurosis fugax
1152	C0334192	Endometrial Atrophy
1153	C0036091	Salivary Gland Calculus
1154	C0152226	lagophthalmos
1155	C0152149	ovulation pain
1156	C0085666	spider angioma
1157	C0007758	cerebellar ataxia
1158	C0007097	carcinoma
1159	C0553730	chondrocalcinosis pyrophosphate
1160	C0262666	vulval abscess
1161	C0151463	Breast abscess
1162	C0019342	genital herpes
1163	C0004095	asthenopia
1164	C0269199	cervical stenosis
1165	C0014541	epiglottitis
1166	C0235782	gallbladder cancer
1167	C0014935	estrogen replacement
1168	C0153062	Viral rash NOS
1169	C0011636	dermatophytosis
1170	C0014733	erysipelas
1171	C0149783	corticosteroid therapy
1172	C1370740	adrenal carcinoma
1173	C0019123	hemothorax
1174	C0039621	tetany
1175	C0035304	retinal degeneration
1176	C0017638	glioma
1177	C0024228	Lymphatic Disorders
1178	C0025637	methaemoglobinaemia
1179	C0520463	chronic active hepatitis
1180	C0009952	febrile convulsion
1181	C0085077	acute febrile neutrophilic dermatosis
1182	C0002063	alkalosis
1183	C0036117	Salmonella
1184	C0026987	Bone marrow fibrosis
1185	C0017536	giardiasis
1186	C0021807	Intertrigo
1187	C0020438	hypercalcinuria
1188	C0403645	bladder atony
1189	C0027819	neuroblastoma
1190	C0042996	vulvitis
1191	C0041825	Tympanic membrane disorder
1192	C0018924	haemarthrosis
1193	C0032987	ectopic pregnancies
1194	C0005695	Bladder Neoplasm
1195	C0009186	coccidioidomycosis
1196	C0031048	constrictive pericarditis
1197	C0158570	vascular anomaly
1198	C0034951	refraction disorder
1199	C0235857	decreased lacrimation
1200	C0259756	Herxheimer reaction
1201	C1384589	tinea cruris
1202	C0085661	Onycholysis
1203	C0011649	dermoid cyst
1204	C0023241	Legionella
1205	C0031036	periarteritis nodosa
1206	C0007855	cervical polyp
1207	C0020532	hypersplenism
1208	C0023532	leukoplakia of mouth
1209	C0040028	Essential Thrombocythemia
1210	C0038012	spondylitis
1211	C0042063	urogenital abnormalities
1212	C0271429	acute otitis media
1213	C0342951	hypervitaminosis
1214	C0022667	papillary necrosis
1215	C0035334	pigmentary retinopathy
1216	C0020626	hypoparathyroidism
1217	C0156221	acute glomerulonephritis
1218	C0205990	Vaginal prolapse
1219	C0026272	mixed connective tissue disease
1220	C0013592	ectropion
1221	C0007095	carcinoid tumour
1222	C0030491	parapsoriasis
1223	C0008925	cleft palate
1224	C0036416	scleritis
1225	C0206063	radiation pneumonitis
1226	C0302314	xanthoma
1227	C0008313	Cholangitis sclerosing
1228	C0007933	chalazion
1229	C0042850	vitamin B deficiency
1230	C0262593	peripheral nerve injury
1231	C0234925	Oily Skin
1232	C0151468	thyroid adenoma
1233	C0086692	Benign Neoplasm
1234	C0042900	vitiligo
1235	C0221244	dandruff
1236	C0001206	Acromegaly
1237	C0007384	cataplexy
1238	C0020445	familial hypercholesterolemia
1239	C0152132	retinopathy hypertensive
1240	C0040262	tinea versicolor
1241	C0029189	orchiectomy
1242	C0030807	pemphigus
1243	C0019699	HIV positive
1244	C0206762	limb malformation
1245	C0032463	erythremia
1246	C0035439	rheumatic heart disease
1247	C0029191	orchitis
1248	C0032024	pityriasis
1249	C0154251	disorders of lipid metabolism
1250	C0010674	Cystic Fibrosis
1251	C0042341	varicocele
1252	C0026919	atypical mycobacterial infection
1253	C0221759	brachial neuritis
1254	C0023370	Leriche syndrome
1255	C0027086	myoma
1256	C1321523	wandering atrial pacemaker
1257	C0031925	pilonidal cyst
1258	C0242786	high risk pregnancy
1259	C0017661	IgA nephropathy
1260	C0020595	hypoaldosteronism
1261	C0266008	breast malformation
1262	C0035412	rhabdomyosarcoma
1263	C0032371	Polio
1264	C0152020	gastric stasis
1265	C0003175	anthrax
1266	C0042755	Masculinization
1267	C0021933	intussusception
1268	C1260881	allergic bronchitis
1269	C0040921	trichomoniasis
1270	C0025362	mental retardation
1271	C0040250	Tinea Capitis
1272	C0162565	acute intermittent porphyria
1273	C0039128	syphilis
1274	C0242459	eosinophilic pneumonia acute
1275	C0033578	neoplasm prostate
1276	C0012546	Diphtheria
1277	C0008449	chondrodystrophy
1278	C0156384	vaginal dysplasia
1279	C0043167	Pertussis
1280	C0020545	renovascular hypertension
1281	C1384353	infestation
1282	C0010930	dacrocystitis
1283	C0000817	septic abortion
1284	C0684275	Haemophilia
1285	C0156312	testicular atrophy
1286	C0008513	chorioretinitis
1287	C0008497	choriocarcinoma
1288	C1378703	renal cancer
1289	C0149707	hematospermia
1290	C0042376	vascular headache
1291	C0149825	adenoid hypertrophy
1292	C0162678	neurofibromatosis
1293	C0085159	Seasonal Affective Disorder
1294	C0039614	tetanus
1295	C0281985	splinter
1296	C0018081	gonorrhea
1297	C0155118	corneal degeneration
1298	C0035920	Rubella
1299	C0025209	melanosis
1300	C0281914	musculoskeletal deformity
1301	C0156273	bladder diverticulum
1302	C0035579	rickets
1303	C0266011	supernumerary nipple
1304	C0010418	Cryptosporidiosis
1305	C0002694	traumatic amputation
1306	C0036916	sexually transmitted diseases
1307	C0027134	Myringitis
1308	C0035460	Vasomotor Rhinitis
1309	C0008533	hemophilia B
1310	C0011593	skin abrasion
1311	C0155707	trifascicular block
1312	C0041466	Typhoid
1313	C0021832	parasitic infection intestinal
1314	C0022735	hypogonadotropic hypogonadism
1315	C0013336	dwarfism
1316	C0034494	rabies
1317	C0542519	renal agenesis
